Group	Year	Month	Day	Time	End Year	End Month	End Day	End Time	Display Date	Evaluation	Title	InCharge	Checker	Checked	林コメント/修正案	URL	Image URL	Image Credit	Type	Color
世の中	2000	7			2000	９				0	三宅島雄山噴火	中山							0	
世の中	2000	7	19							0	2000円札発行	中山	高橋			https://ja.wikipedia.org/wiki/%E4%BA%8C%E5%8D%83%E5%86%86%E7%B4%99%E5%B9%A3#:~:text=%E7%AC%AC26%E5%9B%9E%E4%B8%BB%E8%A6%81%E5%9B%BD%E9%A6%96%E8%84%B3%E4%BC%9A%E8%AD%B0%EF%BC%88%E6%B2%96%E7%B8%84%E3%82%B5%E3%83%9F%E3%83%83%E3%83%88%EF%BC%89%E3%81%A8,%E5%85%83%E3%81%A7%E7%99%BA%E8%A1%8C%E3%81%95%E3%82%8C%E3%81%9F%E3%80%82			0	
世の中	2000	9	15		2000	10	29			1	シドニーオリンピック・パラリンピック開催	中山	高橋	1	高橋	https://ja.wikipedia.org/wiki/2000%E5%B9%B4%E3%82%B7%E3%83%89%E3%83%8B%E3%83%BC%E3%82%AA%E3%83%AA%E3%83%B3%E3%83%94%E3%83%83%E3%82%AF			1	
世の中	2000	12	1							1	BSデジタル放送開始	中山	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AB%E3%81%8A%E3%81%91%E3%82%8B%E8%A1%9B%E6%98%9F%E6%94%BE%E9%80%81#BS%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E6%94%BE%E9%80%81			1	
IT	2000	12	1							1	「IT革命」新語・流行語大賞	中山	高橋	1		https://ja.wikipedia.org/wiki/%E6%96%B0%E8%AA%9E%E3%83%BB%E6%B5%81%E8%A1%8C%E8%AA%9E%E5%A4%A7%E8%B3%9E			1	
世の中	2000	12	30							0	世田谷一家殺害事件	中山			高橋	https://ja.wikipedia.org/wiki/%E4%B8%96%E7%94%B0%E8%B0%B7%E4%B8%80%E5%AE%B6%E6%AE%BA%E5%AE%B3%E4%BA%8B%E4%BB%B6			0	
世の中	2000	1	1							1	2000年問題 政府が安全宣言	丸山	高橋	1	高橋	https://wired.jp/1999/07/27/%E7%B1%B3%E6%94%BF%E5%BA%9C%E3%81%AE%E5%AE%89%E5%85%A8%E5%AE%A3%E8%A8%80%E3%82%822000%E5%B9%B4%E3%81%B8%E3%81%AE%E4%B8%8D%E5%AE%89%E3%82%92%E9%99%A4%E3%81%91%E3%81%9A/			1	
世の中	2000	5	7							1	ロシアの大統領にプーチン氏が就任	丸山	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E3%82%A6%E3%83%A9%E3%82%B8%E3%83%BC%E3%83%9F%E3%83%AB%E3%83%BB%E3%83%97%E3%83%BC%E3%83%81%E3%83%B3#%E5%A4%A7%E7%B5%B1%E9%A0%98%E8%81%B7			1	
世の中	2000	6	28							1	雪印 牛乳の集団食中毒事件発生	丸山	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E9%9B%AA%E5%8D%B0%E9%9B%86%E5%9B%A3%E9%A3%9F%E4%B8%AD%E6%AF%92%E4%BA%8B%E4%BB%B6			1	
世の中	2001	3	31							0	ユニバーサルスタジオジャパン（USJ）開業	中山			高橋	https://ja.wikipedia.org/wiki/%E3%83%A6%E3%83%8B%E3%83%90%E3%83%BC%E3%82%B5%E3%83%AB%E3%83%BB%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3			0	
世の中	2001	9	1							0	歌舞伎町ビル火災	中山			高橋	https://ja.wikipedia.org/wiki/%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA%E3%83%93%E3%83%AB%E7%81%AB%E7%81%BD			0	
世の中	2001	9	11							1	米同時多発テロ発生	中山	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%8C%E6%99%82%E5%A4%9A%E7%99%BA%E3%83%86%E3%83%AD%E4%BA%8B%E4%BB%B6			1	
世の中	2001	10	7							1	アフガニスタン紛争	唐沢	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%95%E3%82%AC%E3%83%8B%E3%82%B9%E3%82%BF%E3%83%B3%E7%B4%9B%E4%BA%89_(2001%E5%B9%B4-2021%E5%B9%B4)			1	
世の中	2001	11	30							1	国内高速道路ETC一般利用開始	中山	高橋	1	高橋	https://ja.wikipedia.org/wiki/ETC			1	
世の中	2001	12								0	ほぼ全ての公立小・中・高等学校等がインターネット接続	中山			高橋	https://www.mext.go.jp/a_menu/shotou/zyouhou/020706j.pdf			0	
世の中	2002	2	8		2002	3	16			1	ソルトレークシティ冬季オリンピック・パラリンピック開催	中山	高橋	1	高橋	https://ja.wikipedia.org/wiki/2002%E5%B9%B4%E3%82%BD%E3%83%AB%E3%83%88%E3%83%AC%E3%83%BC%E3%82%AF%E3%82%B7%E3%83%86%E3%82%A3%E3%82%AA%E3%83%AA%E3%83%B3%E3%83%94%E3%83%83%E3%82%AF			1	
世の中	2002	4								1	（平成14年度より）公立の完全学校週五日制実施	中山	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E5%AD%A6%E6%A0%A1%E9%80%B15%E6%97%A5%E5%88%B6#cite_note-ituka-8	https://www.mext.go.jp/a_menu/shougai/week/index_b.htm		1	
世の中	2002	4								1	（同）高等学校教科「情報」新設、必修	中山	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E6%83%85%E5%A0%B1_(%E6%95%99%E7%A7%91)			1	
世の中	2002	5	28							0	日本経団連発足	中山			高橋	https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E7%B5%8C%E6%B8%88%E5%9B%A3%E4%BD%93%E9%80%A3%E5%90%88%E4%BC%9A			0	
世の中	2002	5	31		2002	6	30			0	サッカーW杯日韓共同開催	中山			高橋	https://ja.wikipedia.org/wiki/2002_FIFA%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89%E3%82%AB%E3%83%83%E3%83%97			0	
世の中	2002	10	15							1	北朝鮮拉致被害者24年ぶり帰国	中山	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E5%8C%97%E6%9C%9D%E9%AE%AE%E3%81%AB%E3%82%88%E3%82%8B%E6%97%A5%E6%9C%AC%E4%BA%BA%E6%8B%89%E8%87%B4%E5%95%8F%E9%A1%8C			1	
世の中	2003	4	1							1	日本郵政公社誕生	持田	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E9%83%B5%E6%94%BF%E5%85%AC%E7%A4%BE			1	
世の中	2003									1	ITバブル崩壊日経平均株価がバブル崩壊後の最安値7,603.76円を記録	永野	高橋	?	自信無し	https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8D%E3%83%83%E3%83%88%E3%83%BB%E3%83%90%E3%83%96%E3%83%AB			1	
世の中	2003									1	SARSがアジアを中心に世界的に大流行	永野	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E9%87%8D%E7%97%87%E6%80%A5%E6%80%A7%E5%91%BC%E5%90%B8%E5%99%A8%E7%97%87%E5%80%99%E7%BE%A4			1	
世の中	2003	4	9							1	イラク戦争開戦。サダム・フセイン政権崩壊。	永野	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E3%82%B5%E3%83%83%E3%83%80%E3%83%BC%E3%83%A0%E3%83%BB%E3%83%95%E3%82%BB%E3%82%A4%E3%83%B3			1	
世の中	2004	8	13							1	アテネ五輪	持田	高橋	1	高橋	https://ja.wikipedia.org/wiki/2004%E5%B9%B4%E3%82%A2%E3%83%86%E3%83%8D%E3%82%AA%E3%83%AA%E3%83%B3%E3%83%94%E3%83%83%E3%82%AF			1	
世の中	2004	10	23							1	新潟中越地震（震度７）、柏崎原発が停止		高橋	1	高橋	https://ja.wikipedia.org/wiki/%E6%96%B0%E6%BD%9F%E7%9C%8C%E4%B8%AD%E8%B6%8A%E5%9C%B0%E9%9C%87			1	
世の中	2005	10	1							0	三菱UFJフィナンシャル・グループ誕生	持田			高橋	https://ja.wikipedia.org/wiki/%E4%B8%89%E8%8F%B1UFJ%E3%83%95%E3%82%A3%E3%83%8A%E3%83%B3%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%BB%E3%82%B0%E3%83%AB%E3%83%BC%E3%83%97			0	
世の中	2005	11	20							1	探査機はやぶさ、小惑星イトカワへ着陸	持田	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E3%81%AF%E3%82%84%E3%81%B6%E3%81%95_(%E6%8E%A2%E6%9F%BB%E6%A9%9F)			1	
世の中	2006	1	23							1	ライブドア事件で逮捕者	西尾	高橋	1	高橋	https://ja.wikipedia.org/wiki/%E3%83%A9%E3%82%A4%E3%83%96%E3%83%89%E3%82%A2%E4%BA%8B%E4%BB%B6			1	
世の中	2006	2	20		2006	2	26			0	トリノオリンピック	高橋			高橋	https://ja.wikipedia.org/wiki/2006%E5%B9%B4%E3%83%88%E3%83%AA%E3%83%8E%E3%82%AA%E3%83%AA%E3%83%B3%E3%83%94%E3%83%83%E3%82%AF			0	
世の中	2006	2	23							0	トリノオリンピックで荒川静香が金メダル	西尾			高橋	https://ja.wikipedia.org/wiki/%E8%8D%92%E5%B7%9D%E9%9D%99%E9%A6%99			0	
